song_id_clean,title,artists,genres_clean,mood_category,emotion_label,clean_text,final_text,spotify_url
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),"Kendrick Lamar, SZA",spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/2CGNAOSuO1MEFCbBRgUzjd
5AJ9hqTS2wcFQCELCFRO7A,MILLION DOLLAR BABY,Tommy Richman,spotify chart; nz top 50,euphoric,joy,,,https://open.spotify.com/track/5AJ9hqTS2wcFQCELCFRO7A
6qqrTXSdwiJaq8SO0X2lSe,Ordinary,Alex Warren,spotify chart; nz top 50,intense,anger,,,https://open.spotify.com/track/6qqrTXSdwiJaq8SO0X2lSe
04emojnbYkrRmv5qtJcgVP,What I Want (feat. Tate McRae),"Morgan Wallen, Tate McRae",spotify chart; us top 50,intense,anger,,,https://open.spotify.com/track/04emojnbYkrRmv5qtJcgVP
0aB0v4027ukVziUGwVGYpG,tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/0aB0v4027ukVziUGwVGYpG
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,spotify chart; ie top 50,melancholic,sadness,,,https://open.spotify.com/track/2262bWmqomIaJXwCRHr13j
5Z0UnEtpLDQyYlWwgi8m9C,Too Sweet,Hozier,spotify chart; ie top 50,euphoric,joy,,,https://open.spotify.com/track/5Z0UnEtpLDQyYlWwgi8m9C
6iycYUk3oB0NPMdaDUrN1w,EVIL J0RDAN,Playboi Carti,spotify chart; us top 50,melancholic,sadness,,,https://open.spotify.com/track/6iycYUk3oB0NPMdaDUrN1w
42UBPzRMh5yyz0EDPr6fr1,Manchild,Sabrina Carpenter,spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/42UBPzRMh5yyz0EDPr6fr1
1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",spotify chart; ca top 50,euphoric,joy,,,https://open.spotify.com/track/1Es7AUAhQvapIcoh3qMKDL
2HYFX63wP3otVIvopRS99Z,Houdini,Eminem,spotify chart; nz top 50,euphoric,joy,,,https://open.spotify.com/track/2HYFX63wP3otVIvopRS99Z
1QoyuMHNBe7lg3YW4Qtll4,St. Chroma (feat. Daniel Caesar),"Tyler, The Creator, Daniel Caesar",spotify chart; us top 50,tense,anxiety,,,https://open.spotify.com/track/1QoyuMHNBe7lg3YW4Qtll4
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),Shaboozey,spotify chart; ca top 50,euphoric,joy,,,https://open.spotify.com/track/5fZJQrFKWQLb7FpJXZ1g7K
2FAZskT9yRjp2Oow9szJD8,The Days - NOTION Remix,"Chrystal, NOTION",spotify chart; nz top 50,tense,anxiety,,,https://open.spotify.com/track/2FAZskT9yRjp2Oow9szJD8
1musbempyJAw5gfSKZHXP9,Anxiety,Doechii,spotify chart; au top 50,euphoric,joy,,,https://open.spotify.com/track/1musbempyJAw5gfSKZHXP9
35ISBknsCeZQtq66xABI9g,Messy,Lola Young,spotify chart; au top 50,euphoric,joy,,,https://open.spotify.com/track/35ISBknsCeZQtq66xABI9g
0nj9Bq5sHDiTxSHunhgkFb,squabble up,Kendrick Lamar,spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/0nj9Bq5sHDiTxSHunhgkFb
7EW7Yivb93qKAtp5qEm5of,Dark Thoughts,Lil Tecca,spotify chart; ca top 50,euphoric,joy,,,https://open.spotify.com/track/7EW7Yivb93qKAtp5qEm5of
5ZLUm9eab8y3tqQ1OhQSHI,Abracadabra,Lady Gaga,spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/5ZLUm9eab8y3tqQ1OhQSHI
0FIDCNYYjNvPVimz5icugS,Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",spotify chart; ca top 50,euphoric,joy,,,https://open.spotify.com/track/0FIDCNYYjNvPVimz5icugS
5IZXB5IKAD2qlvTPJYDCFB,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",spotify chart; ca top 50,euphoric,joy,,,https://open.spotify.com/track/5IZXB5IKAD2qlvTPJYDCFB
5Zx1iBItF4TWFQt4C9P5hZ,Killeagh,Kingfishr,spotify chart; ie top 50,peaceful,calm,,,https://open.spotify.com/track/5Zx1iBItF4TWFQt4C9P5hZ
3LPLRNr58Z9Pn0clnEtkXb,Anxiety,Doechii,spotify chart; au top 50,euphoric,joy,,,https://open.spotify.com/track/3LPLRNr58Z9Pn0clnEtkXb
7hR22TOX3RorxJPcsz5Wbo,Love Somebody,Morgan Wallen,spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/7hR22TOX3RorxJPcsz5Wbo
7so0lgd0zP2Sbgs2d7a1SZ,Die With A Smile,"Lady Gaga, Bruno Mars",spotify chart; ca top 50,intense,anger,,,https://open.spotify.com/track/7so0lgd0zP2Sbgs2d7a1SZ
3WOhcATHxK2SLNeP5W3v1v,Guess featuring Billie Eilish,"Charli xcx, Billie Eilish",spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/3WOhcATHxK2SLNeP5W3v1v
6mC8t1VZq5wyPNRc9Dm2s6,Lied To,"One Mojo, Sik Jagga",spotify chart; ie top 50,peaceful,calm,,,https://open.spotify.com/track/6mC8t1VZq5wyPNRc9Dm2s6
5ceKWhT3J34xxw5uzIzgU9,I Ain't Comin' Back (feat. Post Malone),"Morgan Wallen, Post Malone",spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/5ceKWhT3J34xxw5uzIzgU9
3HlWVKwU0JqJXqJK9DWHnZ,I'm The Problem,Morgan Wallen,spotify chart; us top 50,tense,anxiety,,,https://open.spotify.com/track/3HlWVKwU0JqJXqJK9DWHnZ
4kGlAkGC58crFvxfegBhNs,squabble up,Kendrick Lamar,spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/4kGlAkGC58crFvxfegBhNs
1UrwJzlNC2oaTlxj1OZmcu,twilight zone,Ariana Grande,spotify chart; us top 50,melancholic,sadness,,,https://open.spotify.com/track/1UrwJzlNC2oaTlxj1OZmcu
5xHgo5JN0wfsV41HnRaos5,The Giver,Chappell Roan,spotify chart; ie top 50,euphoric,joy,,,https://open.spotify.com/track/5xHgo5JN0wfsV41HnRaos5
4u43I0LP2Xf85OAS85eG0R,CN TOWER,"PARTYNEXTDOOR, Drake",spotify chart; ca top 50,melancholic,sadness,,,https://open.spotify.com/track/4u43I0LP2Xf85OAS85eG0R
2cZOYofOX4d6g0OXxkaIjA,ALL RED,Playboi Carti,spotify chart; us top 50,intense,anger,,,https://open.spotify.com/track/2cZOYofOX4d6g0OXxkaIjA
0FTmksd2dxiE5e3rWyJXs6,back to friends,sombr,spotify chart; nz top 50,tense,anxiety,,,https://open.spotify.com/track/0FTmksd2dxiE5e3rWyJXs6
4AajxCEwGEsmHmT4H1TwjY,undressed,sombr,spotify chart; au top 50,euphoric,joy,,,https://open.spotify.com/track/4AajxCEwGEsmHmT4H1TwjY
629DixmZGHc7ILtEntuiWE,LUNCH,Billie Eilish,spotify chart; nz top 50,peaceful,calm,,,https://open.spotify.com/track/629DixmZGHc7ILtEntuiWE
0OA00aPt3BV10qeMIs3meW,Big Dawgs,"Hanumankind, Kalmi",spotify chart; nz top 50,tense,anxiety,,,https://open.spotify.com/track/0OA00aPt3BV10qeMIs3meW
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",Gracie Abrams,spotify chart; ie top 50,melancholic,sadness,,,https://open.spotify.com/track/51rfRCiUSvxXlCSCfIztBy
2jNyiavSywmA472t2m6ZBz,What Was That,Lorde,spotify chart; nz top 50,intense,anger,,,https://open.spotify.com/track/2jNyiavSywmA472t2m6ZBz
6393yGahSJ9slVdOwSxOVR,Pink Pony Club,Chappell Roan,spotify chart; au top 50,euphoric,joy,,,https://open.spotify.com/track/6393yGahSJ9slVdOwSxOVR
3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/3tFed7YsjGnIfxeLEQwx3R
7u7IqryLFAygWFz6bsEB7y,Blue Strips,Jessie Murph,spotify chart; ca top 50,intense,anger,,,https://open.spotify.com/track/7u7IqryLFAygWFz6bsEB7y
4WFgvKVfEhb3IUAFGrutTR,Love Me Not,Ravyn Lenae,spotify chart; nz top 50,euphoric,joy,,,https://open.spotify.com/track/4WFgvKVfEhb3IUAFGrutTR
68qeaZhtMZ6abrJCYt6nQn,RATHER LIE (with The Weeknd),"Playboi Carti, The Weeknd",spotify chart; us top 50,intense,anger,,,https://open.spotify.com/track/68qeaZhtMZ6abrJCYt6nQn
5z0LSDpPpGwc2ZyJHpsE3J,Just In Case,Morgan Wallen,spotify chart; us top 50,intense,anger,,,https://open.spotify.com/track/5z0LSDpPpGwc2ZyJHpsE3J
0VaeksJaXy5R1nvcTMh3Xk,"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator, Teezo Touchdown",spotify chart; us top 50,tense,anxiety,,,https://open.spotify.com/track/0VaeksJaXy5R1nvcTMh3Xk
3VdooJLOy4tLxKpnn46SMP,CRUSH (with Travis Scott),"Playboi Carti, Travis Scott",spotify chart; us top 50,intense,anger,,,https://open.spotify.com/track/3VdooJLOy4tLxKpnn46SMP
5RePVWy39tLpHH0WwXgBsK,Rah Tah Tah,"Tyler, The Creator",spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/5RePVWy39tLpHH0WwXgBsK
3HrHhTWonBqF4mDasi8xvC,BACKBONE,"Chase & Status, Stormzy",spotify chart; nz top 50,euphoric,joy,,,https://open.spotify.com/track/3HrHhTWonBqF4mDasi8xvC
1KMKBWBQEB0wdGlV7WR6JV,Superman,Morgan Wallen,spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/1KMKBWBQEB0wdGlV7WR6JV
0dYNnBMNujBe6v9JeU5NC5,wacced out murals,Kendrick Lamar,spotify chart; us top 50,peaceful,calm,,,https://open.spotify.com/track/0dYNnBMNujBe6v9JeU5NC5
3AWDeHLc88XogCaCnZQLVI,Cry For Me,The Weeknd,spotify chart; us top 50,intense,anger,,,https://open.spotify.com/track/3AWDeHLc88XogCaCnZQLVI
55u5QIlEuzCipJBtZPdJio,Renaissance,Eminem,spotify chart; us top 50,tense,anxiety,,,https://open.spotify.com/track/55u5QIlEuzCipJBtZPdJio
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,spotify chart; ca top 50,melancholic,sadness,,,https://open.spotify.com/track/3xkHsmpQCBMytMJNiDf3Ii
5UJbgR4XF4y1DvbkxEqe8S,Sports car,Tate McRae,spotify chart; ca top 50,euphoric,joy,,,https://open.spotify.com/track/5UJbgR4XF4y1DvbkxEqe8S
1eTaznNW4Xxtx9za2SMTXB,DENIAL IS A RIVER,Doechii,spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/1eTaznNW4Xxtx9za2SMTXB
6s8WSX1MxNThrot8ThI6fG,4X4,Travis Scott,spotify chart; us top 50,tense,anxiety,,,https://open.spotify.com/track/6s8WSX1MxNThrot8ThI6fG
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,spotify chart; au top 50,euphoric,joy,,,https://open.spotify.com/track/2HRqTpkrJO5ggZyyK6NPWz
2zOmS55knKWSgScYPTNmGQ,Sports car,Tate McRae,spotify chart; ca top 50,euphoric,joy,,,https://open.spotify.com/track/2zOmS55knKWSgScYPTNmGQ
1tnZxHryc2wWtjUZC1LQw5,Noid,"Tyler, The Creator",spotify chart; us top 50,tense,anxiety,,,https://open.spotify.com/track/1tnZxHryc2wWtjUZC1LQw5
3FjK86616FbluOfTxNK2gY,ANXIETY (feat. Doechii),"Sleepy Hallow, Doechii",spotify chart; nz top 50,peaceful,calm,,,https://open.spotify.com/track/3FjK86616FbluOfTxNK2gY
06qMRF18gwbOYYbnP2du6i,Last Christmas - Single Version,Wham!,spotify chart; ie top 50,euphoric,joy,,,https://open.spotify.com/track/06qMRF18gwbOYYbnP2du6i
5Nz7hI3cCOHmMR4vSLJ1An,GIMME A HUG,Drake,spotify chart; ca top 50,intense,anger,,,https://open.spotify.com/track/5Nz7hI3cCOHmMR4vSLJ1An
7AeM1BGYM7emrqmQn1PuWv,I'm The Problem,Morgan Wallen,spotify chart; us top 50,tense,anxiety,,,https://open.spotify.com/track/7AeM1BGYM7emrqmQn1PuWv
3MJ6lFNV12FSHAOzTzkwxz,Smile,Morgan Wallen,spotify chart; us top 50,melancholic,sadness,,,https://open.spotify.com/track/3MJ6lFNV12FSHAOzTzkwxz
3KC1yCIfkLrRaeeMUEKvg3,Superman,Morgan Wallen,spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/3KC1yCIfkLrRaeeMUEKvg3
73kIKvg65QWieOKXIwyLJP,All The Way (feat. Bailey Zimmerman),"BigXthaPlug, Bailey Zimmerman",spotify chart; us top 50,intense,anger,,,https://open.spotify.com/track/73kIKvg65QWieOKXIwyLJP
0qmhTHMVxnXRmT5N92wTD9,Bloodline (with Jelly Roll),"Alex Warren, Jelly Roll",spotify chart; ca top 50,euphoric,joy,,,https://open.spotify.com/track/0qmhTHMVxnXRmT5N92wTD9
2yWlGEgEfPot0lv3OAjuG3,Just Keep Watching (From F1® The Movie),"Tate McRae, F1 The Album",spotify chart; ca top 50,tense,anxiety,,,https://open.spotify.com/track/2yWlGEgEfPot0lv3OAjuG3
5E3XPRJVgYnxhMAFI7nZ7N,OWA OWA,Lil Tecca,spotify chart; us top 50,tense,anxiety,,,https://open.spotify.com/track/5E3XPRJVgYnxhMAFI7nZ7N
3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,The Marías,spotify chart; us top 50,melancholic,sadness,,,https://open.spotify.com/track/3siwsiaEoU4Kuuc9WKMUy5
0UYnhUfnUj5adChuAXvLUB,Sailor Song,Gigi Perez,spotify chart; ie top 50,melancholic,sadness,,,https://open.spotify.com/track/0UYnhUfnUj5adChuAXvLUB
0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,spotify chart; ie top 50,euphoric,joy,,,https://open.spotify.com/track/0mflMxspEfB0VbI1kyLiAv
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",spotify chart; nz top 50,tense,anxiety,,,https://open.spotify.com/track/42VsgItocQwOQC3XWZ8JNA
02Ya2Q08bBKFqUJvjmyRXK,Just In Case,Morgan Wallen,spotify chart; us top 50,melancholic,sadness,,,https://open.spotify.com/track/02Ya2Q08bBKFqUJvjmyRXK
4gfrYDtaRmp6HPvN80V2ob,I Got Better,Morgan Wallen,spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/4gfrYDtaRmp6HPvN80V2ob
4il87YHqSV9UqbBkXM7z7m,Sports car,Tate McRae,spotify chart; ca top 50,euphoric,joy,,,https://open.spotify.com/track/4il87YHqSV9UqbBkXM7z7m
5gOfC9UzZQzTyShqPMrpjT,wacced out murals,Kendrick Lamar,spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/5gOfC9UzZQzTyShqPMrpjT
2tHwzyyOLoWSFqYNjeVMzj,Please Please Please,Sabrina Carpenter,spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/2tHwzyyOLoWSFqYNjeVMzj
1YRbAonLvmuUILvQso0gUM,twilight zone,Ariana Grande,spotify chart; us top 50,melancholic,sadness,,,https://open.spotify.com/track/1YRbAonLvmuUILvQso0gUM
1YdtGoSYDvVQKoUqSDXX41,Noid,"Tyler, The Creator",spotify chart; us top 50,tense,anxiety,,,https://open.spotify.com/track/1YdtGoSYDvVQKoUqSDXX41
7I3RalBqE7ZE0RSxgGlGlm,Habits,"Eminem, White Gold",spotify chart; ca top 50,euphoric,joy,,,https://open.spotify.com/track/7I3RalBqE7ZE0RSxgGlGlm
5nk6BxN9bM5rLNkA3pMOzn,Tweaker,G3 GELO,spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/5nk6BxN9bM5rLNkA3pMOzn
541sN2qNfIlllGn9nGOQoC,Revolving door,Tate McRae,spotify chart; ca top 50,tense,anxiety,,,https://open.spotify.com/track/541sN2qNfIlllGn9nGOQoC
6StwwqB84sJeLr7tZDTxEX,Guy For That (Feat. Luke Combs),"Post Malone, Luke Combs",spotify chart; ca top 50,tense,anxiety,,,https://open.spotify.com/track/6StwwqB84sJeLr7tZDTxEX
0d9BfcBk5iBUC78VmTXGgY,man at the garden,Kendrick Lamar,spotify chart; us top 50,peaceful,calm,,,https://open.spotify.com/track/0d9BfcBk5iBUC78VmTXGgY
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,spotify chart; nz top 50,intense,anger,,,https://open.spotify.com/track/17phhZDn6oGtzMe56NuWvj
2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",spotify chart; ie top 50,melancholic,sadness,,,https://open.spotify.com/track/2OzhQlSqBEmt7hmkYxfT6m
6jbYpRPTEFl1HFKHk1IC0m,Like Him (feat. Lola Young),"Tyler, The Creator, Lola Young",spotify chart; us top 50,intense,anger,,,https://open.spotify.com/track/6jbYpRPTEFl1HFKHk1IC0m
0b0Dz0Gi86SVdBxYeiQcCP,Busy Woman,Sabrina Carpenter,spotify chart; ie top 50,euphoric,joy,,,https://open.spotify.com/track/0b0Dz0Gi86SVdBxYeiQcCP
5S8VwnB4sLi6W0lYTWYylu,hey now (feat. dody6),"Kendrick Lamar, Dody6",spotify chart; us top 50,melancholic,sadness,,,https://open.spotify.com/track/5S8VwnB4sLi6W0lYTWYylu
3j3SfV4hAcR4XjCvW393Gr,POP OUT,Playboi Carti,spotify chart; us top 50,tense,anxiety,,,https://open.spotify.com/track/3j3SfV4hAcR4XjCvW393Gr
2QN9zL3SzXdGqqmXO68gFp,Somebody's Watching Me - Single Version,Rockwell,spotify chart; ca top 50,euphoric,joy,,,https://open.spotify.com/track/2QN9zL3SzXdGqqmXO68gFp
76JKIsdKrAfWUMjaA0u7v5,Too Sweet,Hozier,spotify chart; nz top 50,euphoric,joy,,,https://open.spotify.com/track/76JKIsdKrAfWUMjaA0u7v5
1CDQzbCz4KSQxHe7LMEgRM,Houdini,Eminem,spotify chart; nz top 50,euphoric,joy,,,https://open.spotify.com/track/1CDQzbCz4KSQxHe7LMEgRM
1f18HzFpegqvH4ibGJyeMJ,2 hands,Tate McRae,spotify chart; ca top 50,euphoric,joy,,,https://open.spotify.com/track/1f18HzFpegqvH4ibGJyeMJ
7qbJ4Dh8xuYUFdAWL8SFPK,Guess featuring Billie Eilish,"Charli xcx, Billie Eilish",spotify chart; ie top 50,euphoric,joy,,,https://open.spotify.com/track/7qbJ4Dh8xuYUFdAWL8SFPK
4IixOTCzviJgIigKleiVbo,Even In Arcadia,Sleep Token,spotify chart; us top 50,melancholic,sadness,,,https://open.spotify.com/track/4IixOTCzviJgIigKleiVbo
2edsQ1omIwIvdf5Id3EDPZ,Hello,Emmanuel Kelly,spotify chart; ie top 50,euphoric,joy,,,https://open.spotify.com/track/2edsQ1omIwIvdf5Id3EDPZ
6CG7UePo6mydQbNr4tlkp8,hey now (feat. dody6),"Kendrick Lamar, Dody6",spotify chart; us top 50,melancholic,sadness,,,https://open.spotify.com/track/6CG7UePo6mydQbNr4tlkp8
1hoeP1oPYlhcv6iRCtB7pT,Man Of The Year,Lorde,spotify chart; nz top 50,melancholic,sadness,,,https://open.spotify.com/track/1hoeP1oPYlhcv6iRCtB7pT
5G6fY8QYk5azqSRGI9FMpa,dandelion,Ariana Grande,spotify chart; us top 50,melancholic,sadness,,,https://open.spotify.com/track/5G6fY8QYk5azqSRGI9FMpa
7DL2F2bueQycqYjqsjHYjG,MOTH BALLS,"PARTYNEXTDOOR, Drake",spotify chart; ca top 50,melancholic,sadness,,,https://open.spotify.com/track/7DL2F2bueQycqYjqsjHYjG
5ehXToeJ8Tgc4wMhY42Oul,Wake Me Up,The Weeknd,spotify chart; ca top 50,intense,anger,,,https://open.spotify.com/track/5ehXToeJ8Tgc4wMhY42Oul
24XihnoVPWXlKJ4BgXqjVM,It's ok I'm ok,Tate McRae,spotify chart; ca top 50,intense,anger,,,https://open.spotify.com/track/24XihnoVPWXlKJ4BgXqjVM
1UHS8Rf6h5Ar3CDWRd3wjF,Bed Chem,Sabrina Carpenter,spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/1UHS8Rf6h5Ar3CDWRd3wjF
3aSWXU6owkZeVhh94XxEWO,30 For 30 (with Kendrick Lamar),"SZA, Kendrick Lamar",spotify chart; us top 50,peaceful,calm,,,https://open.spotify.com/track/3aSWXU6owkZeVhh94XxEWO
0RgjEkSbeuStKfT2Pa4Zai,reincarnated,Kendrick Lamar,spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/0RgjEkSbeuStKfT2Pa4Zai
19XpFsce28aByvCC4g89tJ,Too Sweet,Hozier,spotify chart; nz top 50,euphoric,joy,,,https://open.spotify.com/track/19XpFsce28aByvCC4g89tJ
0AjmK0Eai4zGrLaJwPvrDp,Too Sweet,Hozier,spotify chart; ie top 50,euphoric,joy,,,https://open.spotify.com/track/0AjmK0Eai4zGrLaJwPvrDp
102YUQbYmwdBXS7jwamI90,Good Graces,Sabrina Carpenter,spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/102YUQbYmwdBXS7jwamI90
2aYHxnMF2umAavtgBvmkY1,Thought I Was Dead (feat. ScHoolboy Q & Santigold),"Tyler, The Creator, ScHoolboy Q, Santigold",spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/2aYHxnMF2umAavtgBvmkY1
5ho7VSXSmI2KM2nDjcnLyz,man at the garden,Kendrick Lamar,spotify chart; us top 50,peaceful,calm,,,https://open.spotify.com/track/5ho7VSXSmI2KM2nDjcnLyz
3WRUvGqySBZC6RkB5c2w1S,MOJO JOJO,Playboi Carti,spotify chart; us top 50,intense,anger,,,https://open.spotify.com/track/3WRUvGqySBZC6RkB5c2w1S
0NUqi0ps17YpLUC3kgsZq0,DIE TRYING,"PARTYNEXTDOOR, Drake, Yebba",spotify chart; ca top 50,euphoric,joy,,,https://open.spotify.com/track/0NUqi0ps17YpLUC3kgsZq0
3Umj02ZNl4d356pS1D38mn,Hey Jane,"Tyler, The Creator",spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/3Umj02ZNl4d356pS1D38mn
77pfjsq0gSZwO8bYVTVROo,Brand New Dance,Eminem,spotify chart; ca top 50,euphoric,joy,,,https://open.spotify.com/track/77pfjsq0gSZwO8bYVTVROo
4Lojbtk7XNMdSKRHSFbdkm,Look To Windward,Sleep Token,spotify chart; us top 50,melancholic,sadness,,,https://open.spotify.com/track/4Lojbtk7XNMdSKRHSFbdkm
5crxqqibcvoOQQgg4HjAFQ,Guy For That (Feat. Luke Combs),"Post Malone, Luke Combs",spotify chart; ca top 50,euphoric,joy,,,https://open.spotify.com/track/5crxqqibcvoOQQgg4HjAFQ
0GnNHCDj2WOJl70UUcvAEP,Falling Apart,Morgan Wallen,spotify chart; us top 50,melancholic,sadness,,,https://open.spotify.com/track/0GnNHCDj2WOJl70UUcvAEP
75bsrBtmM57lhi55yOfzBL,tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",spotify chart; us top 50,peaceful,calm,,,https://open.spotify.com/track/75bsrBtmM57lhi55yOfzBL
1F6nHHDJyTHLgDDFj1ZZDt,SOMETHING ABOUT YOU,"PARTYNEXTDOOR, Drake",spotify chart; ca top 50,melancholic,sadness,,,https://open.spotify.com/track/1F6nHHDJyTHLgDDFj1ZZDt
4ZJ4vzLQekI0WntDbanNC7,Pink Skies,Zach Bryan,spotify chart; ca top 50,melancholic,sadness,,,https://open.spotify.com/track/4ZJ4vzLQekI0WntDbanNC7
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Myles Smith,spotify chart; ie top 50,intense,anger,,,https://open.spotify.com/track/3Vr3zh0r7ALn8VLqCiRR10
4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,Chappell Roan,spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/4xdBrk0nFZaP54vvZj0yx7
4K1Pg0FLno1ltzX3jeqT83,"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)","Kendrick Lamar, Wallie the Sensei, Siete7x, Roddy Ricch",spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/4K1Pg0FLno1ltzX3jeqT83
7Fzl7QaTu47WyP9R5S5mh5,Lies Lies Lies,Morgan Wallen,spotify chart; ca top 50,tense,anxiety,,,https://open.spotify.com/track/7Fzl7QaTu47WyP9R5S5mh5
00iLTetTLAeImmBlh6jOJh,K POP,Playboi Carti,spotify chart; us top 50,intense,anger,,,https://open.spotify.com/track/00iLTetTLAeImmBlh6jOJh
5SIvP6TdWc9DNvKbENjnYc,PHILLY (with Travis Scott),"Playboi Carti, Travis Scott",spotify chart; ca top 50,intense,anger,,,https://open.spotify.com/track/5SIvP6TdWc9DNvKbENjnYc
